Designator,Qty,Part Number,Package
"C79,C61,C15,C1,C16,C76,C30,C54,C37,C67,C24,C66,C69,C27,C65,C11,C78,C68,C64,C13,C14,C62,C47,C71,C35,C4,C74,C5,C60,C9,C21,C45,C19,C25,C59,C17,C28,C8,C73,C56,C34,C50,C75,C22,C2,C29,C55,C46,C52,C20,C39,C44,C6,C33,C12,C7,C58,C38,C32,C36,C53,C43,C49,C42,C51,C70,C3,C77,C18,C41,C26,C57,C23,C40,C63,C48,C10,C72,C31",79,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder
R1,1,330R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
U2,1,74AHCT125,SOIC-14_3.9x8.7mm_P1.27mm
"D73,D25,D44,D31,D72,D66,D29,D37,D57,D63,D48,D67,D27,D70,D1,D49,D41,D64,D52,D74,D38,D23,D76,D60,D33,D16,D77,D46,D61,D47,D43,D15,D11,D34,D65,D51,D62,D14,D59,D56,D19,D40,D3,D32,D69,D10,D39,D13,D53,D6,D58,D45,D7,D54,D42,D36,D24,D35,D9,D22,D17,D8,D21,D18,D26,D28,D30,D75,D78,D55,D4,D50,D12,D68,D71,D20,D2,D5",78,D,D_SOD-123
U1,1,ER_OLEDM0.91_1x-I2C,ER_OLEDM0.91_1x-I2C
"LED18,LED23,LED22,LED29,LED52,LED46,LED74,LED17,LED43,LED21,LED3,LED1,LED28,LED63,LED51,LED53,LED20,LED78,LED38,LED7,LED54,LED62,LED12,LED45,LED37,LED70,LED48,LED64,LED16,LED11,LED68,LED26,LED72,LED66,LED8,LED41,LED65,LED59,LED58,LED47,LED15,LED14,LED40,LED75,LED27,LED10,LED56,LED39,LED55,LED50,LED57,LED31,LED42,LED76,LED24,LED34,LED35,LED19,LED71,LED61,LED5,LED9,LED77,LED60,LED67,LED73,LED36,LED13,LED32,LED6,LED69,LED4,LED30,LED49,LED44,LED25,LED33,LED2",78,MX_SK6812MINI-E,LED_MX_6028R
"H1,H3,H2,H4",4,MountingHole,MountingHole_3.2mm_M3
A1,1,SC0918,RaspberryPi_Pico_Common_THT
"SW16,SW49,SW38,SW76,SW10,SW32,SW45,SW21,SW18,SW65,SW14,SW30,SW31,SW17,SW24,SW9,SW58,SW56,SW37,SW25,SW6,SW8,SW22,SW62,SW57,SW34,SW1,SW36,SW64,SW44,SW26,SW59,SW4,SW47,SW43,SW52,SW7,SW53,SW19,SW46,SW20,SW12,SW13,SW15,SW63,SW3,SW29,SW60,SW50,SW78,SW39,SW33,SW2,SW77,SW5,SW40,SW61,SW35,SW11,SW48,SW51,SW23",62,SW_Push,SW_Cherry_MX_1.00u_PCB
"SW69,SW75,SW67,SW72,SW70,SW73,SW74,SW68",8,SW_Push,SW_Cherry_MX_1.25u_PCB
"SW41,SW28",2,SW_Push,SW_Cherry_MX_1.50u_PCB
SW42,1,SW_Push,SW_Cherry_MX_1.75u_PCB
SW27,1,SW_Push,SW_Cherry_MX_2.00u_PCB
"SW54,SW55",2,SW_Push,SW_Cherry_MX_2.25u_PCB
SW66,1,SW_Push,SW_Cherry_MX_2.75u_PCB
SW71,1,SW_Push,SW_Cherry_MX_6.25u_PCB
